HOG,category,n_expressed_dups,hog_size_genome,hog_size_mapped,hog_size_expressed
N0.HOG0001324,Male + Unbiased,2,2,2,2
N0.HOG0001325,All unbiased,3,3,3,3
N0.HOG0001326,Female + Unbiased,2,3,3,2
N0.HOG0001327,All female-biased,2,2,2,2
N0.HOG0001328,All unbiased,8,12,8,8
N0.HOG0001330,All male-biased,5,5,5,5
N0.HOG0001337,All unbiased,2,2,2,2
N0.HOG0001338,All male-biased,2,2,2,2
N0.HOG0001339,All unbiased,2,2,2,2
N0.HOG0001340,Male + Unbiased,2,2,2,2
N0.HOG0001341,Male + Unbiased,3,3,3,3
N0.HOG0001346,All female-biased,3,3,3,3
N0.HOG0001347,Male + Unbiased,2,2,2,2
N0.HOG0001352,Male + Unbiased,3,3,3,3
N0.HOG0001354,All unbiased,4,4,4,4
N0.HOG0001355,All unbiased,2,2,2,2
N0.HOG0001356,All unbiased,2,2,2,2
N0.HOG0001357,Female + Unbiased,2,3,3,2
N0.HOG0001362,All unbiased,2,3,2,2
N0.HOG0001364,Male + Unbiased,7,11,10,7
N0.HOG0001370,Female + Unbiased,2,2,2,2
N0.HOG0001378,Female + Unbiased,8,8,8,8
N0.HOG0001383,Male + Unbiased,3,3,3,3
N0.HOG0001384,All unbiased,2,2,2,2
N0.HOG0001386,All male-biased,2,2,2,2
N0.HOG0001387,Male + Unbiased,2,2,2,2
N0.HOG0001391,Male + Unbiased,2,2,2,2
N0.HOG0001394,Female + Unbiased,3,3,3,3
N0.HOG0001396,Male + Unbiased,8,9,9,8
N0.HOG0001397,All male-biased,2,2,2,2
N0.HOG0001398,All unbiased,2,2,2,2
N0.HOG0001399,Male + Female,2,3,2,2
N0.HOG0001400,All unbiased,4,4,4,4
N0.HOG0001406,Male + Unbiased,3,6,6,3
N0.HOG0001408,All unbiased,2,2,2,2
N0.HOG0001409,All male-biased,3,4,4,3
N0.HOG0001410,All unbiased,3,3,3,3
N0.HOG0001413,Male + Unbiased,2,2,2,2
N0.HOG0001416,All male-biased,2,2,2,2
N0.HOG0001417,Male + Unbiased,3,3,3,3
N0.HOG0001423,Female + Unbiased,3,3,3,3
N0.HOG0001425,All male-biased,2,3,3,2
N0.HOG0001426,Male + Female,3,3,3,3
N0.HOG0001431,All unbiased,3,3,3,3
N0.HOG0001433,All unbiased,2,2,2,2
N0.HOG0001434,All female-biased,3,3,3,3
N0.HOG0001435,Male + Unbiased,2,2,2,2
N0.HOG0001436,Female + Unbiased,2,3,3,2
N0.HOG0001438,All male-biased,4,4,4,4
N0.HOG0001439,All male-biased,5,5,5,5
N0.HOG0001442,All male-biased,3,4,4,3
N0.HOG0001443,All unbiased,2,2,2,2
N0.HOG0001444,Male + Unbiased,3,3,3,3
N0.HOG0001451,Male + Unbiased,4,21,18,4
N0.HOG0001454,All male-biased,3,26,19,3
N0.HOG0001464,Male + Unbiased,5,6,6,5
N0.HOG0001470,All unbiased,2,3,3,2
N0.HOG0001473,All unbiased,2,2,2,2
N0.HOG0001476,Female + Unbiased,2,2,2,2
N0.HOG0001480,Female + Unbiased,3,3,3,3
N0.HOG0001481,All unbiased,2,2,2,2
N0.HOG0001482,Male + Unbiased,2,2,2,2
N0.HOG0001483,All unbiased,2,2,2,2
N0.HOG0001487,Male + Unbiased,3,3,3,3
N0.HOG0001494,All three,4,4,4,4
N0.HOG0001500,Male + Unbiased,2,2,2,2
N0.HOG0001501,All unbiased,2,2,2,2
N0.HOG0001503,All unbiased,3,3,3,3
N0.HOG0001507,All male-biased,2,2,2,2
N0.HOG0001509,All unbiased,3,3,3,3
N0.HOG0001510,All female-biased,2,2,2,2
N0.HOG0001513,All male-biased,3,3,3,3
N0.HOG0001514,All male-biased,2,2,2,2
N0.HOG0001518,All unbiased,2,2,2,2
N0.HOG0001523,All male-biased,2,2,2,2
N0.HOG0001525,All unbiased,2,2,2,2
N0.HOG0001530,All male-biased,2,2,2,2
N0.HOG0001531,Male + Female,2,2,2,2
N0.HOG0001533,All male-biased,2,2,2,2
N0.HOG0001535,All unbiased,2,2,2,2
N0.HOG0001536,Female + Unbiased,2,4,4,2
N0.HOG0001539,All unbiased,2,2,2,2
N0.HOG0001541,All unbiased,3,3,3,3
N0.HOG0001544,All unbiased,2,2,2,2
N0.HOG0001545,All male-biased,3,3,3,3
N0.HOG0001546,All female-biased,2,2,2,2
N0.HOG0001550,All unbiased,8,23,19,8
N0.HOG0001556,All male-biased,2,4,3,2
N0.HOG0001561,All unbiased,2,2,2,2
N0.HOG0001573,All male-biased,2,2,2,2
N0.HOG0001576,Male + Unbiased,11,12,12,11
N0.HOG0001577,Female + Unbiased,3,3,3,3
N0.HOG0001578,Male + Unbiased,2,8,5,2
N0.HOG0001579,All unbiased,3,3,3,3
N0.HOG0001580,Male + Unbiased,3,3,3,3
N0.HOG0001581,All male-biased,3,3,3,3
N0.HOG0001583,Male + Unbiased,2,2,2,2
N0.HOG0001588,All unbiased,2,2,2,2
N0.HOG0001589,Male + Unbiased,2,2,2,2
N0.HOG0001591,All unbiased,2,3,3,2
N0.HOG0001594,All unbiased,3,3,3,3
N0.HOG0001595,Male + Unbiased,6,19,16,6
N0.HOG0001596,All male-biased,2,2,2,2
N0.HOG0001597,Male + Unbiased,3,3,3,3
N0.HOG0001598,Male + Female,6,7,7,6
N0.HOG0001602,All male-biased,2,3,2,2
N0.HOG0001603,Male + Unbiased,4,4,4,4
N0.HOG0001605,Male + Unbiased,3,3,3,3
N0.HOG0001609,All male-biased,2,2,2,2
N0.HOG0001610,All unbiased,5,5,5,5
N0.HOG0001611,All unbiased,2,2,2,2
N0.HOG0001614,All unbiased,3,3,3,3
N0.HOG0001615,Female + Unbiased,2,2,2,2
N0.HOG0001619,All three,8,16,15,8
N0.HOG0001621,Male + Unbiased,2,2,2,2
N0.HOG0001623,Female + Unbiased,2,2,2,2
N0.HOG0001630,Male + Unbiased,2,2,2,2
N0.HOG0001632,Male + Unbiased,4,4,4,4
N0.HOG0001635,All unbiased,2,2,2,2
N0.HOG0001642,All unbiased,2,2,2,2
N0.HOG0001643,Male + Unbiased,3,3,3,3
N0.HOG0001647,Male + Unbiased,3,3,3,3
N0.HOG0001648,All unbiased,2,2,2,2
N0.HOG0001649,All male-biased,2,2,2,2
N0.HOG0001650,All male-biased,3,3,3,3
N0.HOG0001656,All unbiased,2,2,2,2
N0.HOG0001657,All female-biased,2,2,2,2
N0.HOG0001658,All male-biased,2,2,2,2
N0.HOG0001669,Male + Unbiased,2,25,20,2
N0.HOG0001682,All unbiased,2,2,2,2
N0.HOG0001686,Male + Unbiased,4,6,4,4
N0.HOG0001687,All unbiased,2,2,2,2
N0.HOG0001688,All female-biased,2,2,2,2
N0.HOG0001693,All male-biased,2,2,2,2
N0.HOG0001697,All unbiased,4,4,4,4
N0.HOG0001698,Male + Unbiased,3,3,3,3
N0.HOG0001702,Male + Unbiased,2,2,2,2
N0.HOG0001704,Male + Unbiased,4,4,4,4
N0.HOG0001705,All male-biased,2,2,2,2
N0.HOG0001706,All unbiased,2,2,2,2
N0.HOG0001707,All male-biased,2,2,2,2
N0.HOG0001710,Male + Unbiased,2,2,2,2
N0.HOG0001711,All unbiased,9,14,11,9
N0.HOG0001713,Male + Unbiased,7,8,8,7
N0.HOG0001719,Male + Unbiased,6,7,7,6
N0.HOG0001723,All male-biased,5,8,8,5
N0.HOG0001724,All unbiased,3,4,3,3
N0.HOG0001725,Male + Unbiased,3,3,3,3
N0.HOG0001728,All male-biased,3,3,3,3
N0.HOG0001732,All male-biased,3,3,3,3
N0.HOG0001733,All unbiased,2,2,2,2
N0.HOG0001735,Male + Unbiased,2,2,2,2
N0.HOG0001736,All male-biased,2,2,2,2
N0.HOG0001739,All male-biased,2,2,2,2
N0.HOG0001743,Male + Unbiased,2,2,2,2
N0.HOG0001744,All unbiased,2,2,2,2
N0.HOG0001745,All male-biased,4,6,5,4
N0.HOG0001746,All female-biased,2,3,3,2
N0.HOG0001747,All unbiased,4,7,6,4
N0.HOG0001748,All female-biased,2,2,2,2
N0.HOG0001749,All unbiased,2,2,2,2
N0.HOG0001751,Female + Unbiased,2,2,2,2
N0.HOG0001754,All unbiased,2,2,2,2
N0.HOG0001755,All male-biased,2,2,2,2
N0.HOG0001756,All unbiased,3,4,4,3
N0.HOG0001758,All unbiased,2,2,2,2
N0.HOG0001765,Female + Unbiased,10,11,10,10
N0.HOG0001768,All unbiased,2,2,2,2
N0.HOG0001771,All male-biased,2,2,2,2
N0.HOG0001775,All unbiased,2,2,2,2
N0.HOG0001776,All unbiased,2,2,2,2
N0.HOG0001777,All unbiased,2,2,2,2
N0.HOG0001780,Male + Unbiased,3,16,13,3
N0.HOG0001782,Male + Female,2,2,2,2
N0.HOG0001783,All male-biased,2,2,2,2
N0.HOG0001784,All unbiased,2,2,2,2
N0.HOG0001786,All unbiased,3,3,3,3
N0.HOG0001787,Female + Unbiased,5,5,5,5
N0.HOG0001788,All male-biased,2,2,2,2
N0.HOG0001791,Male + Unbiased,3,3,3,3
N0.HOG0001792,All unbiased,4,4,4,4
N0.HOG0001793,All unbiased,2,3,2,2
N0.HOG0001799,All three,6,15,13,6
N0.HOG0001803,Female + Unbiased,20,23,23,20
N0.HOG0001804,Male + Unbiased,4,24,19,4
N0.HOG0001805,All male-biased,2,4,4,2
N0.HOG0001817,Male + Unbiased,3,3,3,3
N0.HOG0001825,All female-biased,2,2,2,2
N0.HOG0001828,Male + Unbiased,2,2,2,2
N0.HOG0001829,All unbiased,2,17,15,2
N0.HOG0001831,Male + Unbiased,2,8,6,2
N0.HOG0001833,Male + Unbiased,2,2,2,2
N0.HOG0001838,All unbiased,2,5,2,2
N0.HOG0001839,Male + Unbiased,3,3,3,3
N0.HOG0001840,All male-biased,3,3,3,3
N0.HOG0001841,All three,5,5,5,5
N0.HOG0001842,All male-biased,2,2,2,2
N0.HOG0001843,All male-biased,2,2,2,2
N0.HOG0001844,All male-biased,2,2,2,2
N0.HOG0001845,All unbiased,2,4,4,2
N0.HOG0001846,All unbiased,2,2,2,2
N0.HOG0001854,Male + Female,3,5,5,3
N0.HOG0001856,All male-biased,3,3,3,3
N0.HOG0001858,All male-biased,2,2,2,2
N0.HOG0001861,All male-biased,2,2,2,2
N0.HOG0001862,Female + Unbiased,4,5,4,4
N0.HOG0001864,Female + Unbiased,2,2,2,2
N0.HOG0001873,All male-biased,2,2,2,2
N0.HOG0001875,All male-biased,3,3,3,3
N0.HOG0001881,All male-biased,2,2,2,2
N0.HOG0001883,All female-biased,2,2,2,2
N0.HOG0001888,All unbiased,2,2,2,2
N0.HOG0001889,All unbiased,3,3,3,3
N0.HOG0001892,All unbiased,2,2,2,2
N0.HOG0001894,All unbiased,2,2,2,2
N0.HOG0001895,All unbiased,2,2,2,2
N0.HOG0001896,All female-biased,2,2,2,2
N0.HOG0001902,All male-biased,2,2,2,2
N0.HOG0001903,All unbiased,2,2,2,2
N0.HOG0001904,All female-biased,7,7,7,7
N0.HOG0001907,All unbiased,3,3,3,3
N0.HOG0001908,All unbiased,2,2,2,2
N0.HOG0001912,All unbiased,2,2,2,2
N0.HOG0001913,All unbiased,2,2,2,2
N0.HOG0001915,All unbiased,3,3,3,3
N0.HOG0001918,All female-biased,4,4,4,4
N0.HOG0001919,All male-biased,2,2,2,2
N0.HOG0001920,All male-biased,2,2,2,2
N0.HOG0001922,Male + Unbiased,2,2,2,2
N0.HOG0001923,All female-biased,3,3,3,3
N0.HOG0001924,Female + Unbiased,3,3,3,3
N0.HOG0001925,All male-biased,3,3,3,3
N0.HOG0001928,All unbiased,2,4,3,2
N0.HOG0001929,All unbiased,3,3,3,3
N0.HOG0001930,All unbiased,2,2,2,2
N0.HOG0001931,All unbiased,2,2,2,2
N0.HOG0001932,All female-biased,2,2,2,2
N0.HOG0001933,All unbiased,2,2,2,2
N0.HOG0001952,All unbiased,5,23,19,5
N0.HOG0001969,All unbiased,2,2,2,2
N0.HOG0001970,All unbiased,2,4,3,2
N0.HOG0001972,All unbiased,3,3,3,3
N0.HOG0001976,All unbiased,2,18,16,2
N0.HOG0001978,All unbiased,2,2,2,2
N0.HOG0001982,All unbiased,2,2,2,2
N0.HOG0001984,All unbiased,2,3,3,2
N0.HOG0001985,All male-biased,2,2,2,2
N0.HOG0001987,Male + Unbiased,3,3,3,3
N0.HOG0001989,Female + Unbiased,4,4,4,4
N0.HOG0001993,All male-biased,3,3,3,3
N0.HOG0001998,All unbiased,3,3,3,3
N0.HOG0002001,All unbiased,2,2,2,2
N0.HOG0002004,All unbiased,2,2,2,2
N0.HOG0002007,All female-biased,2,2,2,2
N0.HOG0002008,All male-biased,4,6,4,4
N0.HOG0002009,All unbiased,4,4,4,4
N0.HOG0002011,All unbiased,2,2,2,2
N0.HOG0002015,All male-biased,2,2,2,2
N0.HOG0002018,All unbiased,2,2,2,2
N0.HOG0002019,All male-biased,4,4,4,4
N0.HOG0002020,All unbiased,2,2,2,2
N0.HOG0002024,All male-biased,2,2,2,2
N0.HOG0002026,All unbiased,2,4,3,2
N0.HOG0002027,All unbiased,2,2,2,2
N0.HOG0002037,All male-biased,2,3,3,2
N0.HOG0002040,All male-biased,3,3,3,3
N0.HOG0002041,Female + Unbiased,3,4,4,3
N0.HOG0002042,Female + Unbiased,5,6,5,5
N0.HOG0002044,Male + Female,2,2,2,2
N0.HOG0002047,All female-biased,2,3,3,2
N0.HOG0002050,Female + Unbiased,2,2,2,2
N0.HOG0002051,Female + Unbiased,7,7,7,7
N0.HOG0002053,All unbiased,2,2,2,2
N0.HOG0002055,All unbiased,2,2,2,2
N0.HOG0002057,All female-biased,2,2,2,2
N0.HOG0002060,All female-biased,2,2,2,2
N0.HOG0002061,All male-biased,2,2,2,2
N0.HOG0002064,All unbiased,3,3,3,3
N0.HOG0002068,All female-biased,2,2,2,2
N0.HOG0002072,All unbiased,2,3,3,2
N0.HOG0002073,All unbiased,4,4,4,4
N0.HOG0002074,All unbiased,2,2,2,2
N0.HOG0002081,All male-biased,3,3,3,3
N0.HOG0002082,All female-biased,3,3,3,3
N0.HOG0002084,Female + Unbiased,2,2,2,2
N0.HOG0002085,All unbiased,2,2,2,2
N0.HOG0002086,Male + Unbiased,2,2,2,2
N0.HOG0002088,All unbiased,2,2,2,2
N0.HOG0002089,Female + Unbiased,7,9,8,7
N0.HOG0002090,All unbiased,2,2,2,2
N0.HOG0002091,All unbiased,2,2,2,2
N0.HOG0002092,All male-biased,2,2,2,2
N0.HOG0002096,All unbiased,2,2,2,2
N0.HOG0002098,All unbiased,6,7,7,6
N0.HOG0002105,All male-biased,2,2,2,2
N0.HOG0002110,All male-biased,2,2,2,2
N0.HOG0002111,All male-biased,3,3,3,3
N0.HOG0002113,All female-biased,2,2,2,2
N0.HOG0002115,All female-biased,2,2,2,2
N0.HOG0002117,All unbiased,2,2,2,2
N0.HOG0002119,All unbiased,2,4,4,2
N0.HOG0002120,Male + Unbiased,2,2,2,2
N0.HOG0002121,Male + Unbiased,2,2,2,2
N0.HOG0002123,All female-biased,2,2,2,2
N0.HOG0002129,All unbiased,3,3,3,3
N0.HOG0002132,All male-biased,2,2,2,2
N0.HOG0002148,All unbiased,5,16,13,5
N0.HOG0002163,All unbiased,2,2,2,2
N0.HOG0002164,All male-biased,2,2,2,2
N0.HOG0002170,Female + Unbiased,3,3,3,3
N0.HOG0002171,All unbiased,2,2,2,2
N0.HOG0002172,All unbiased,3,3,3,3
N0.HOG0002179,Male + Unbiased,2,4,2,2
N0.HOG0002180,All unbiased,2,2,2,2
N0.HOG0002184,Female + Unbiased,2,8,8,2
N0.HOG0002188,Male + Unbiased,2,2,2,2
N0.HOG0002189,Male + Unbiased,2,2,2,2
N0.HOG0002194,All unbiased,2,2,2,2
N0.HOG0002195,Female + Unbiased,2,2,2,2
N0.HOG0002197,All unbiased,2,2,2,2
N0.HOG0002198,Male + Unbiased,7,9,8,7
N0.HOG0002204,All unbiased,2,3,3,2
N0.HOG0002209,All unbiased,2,2,2,2
N0.HOG0002216,Male + Unbiased,2,2,2,2
N0.HOG0002217,Male + Unbiased,3,4,4,3
N0.HOG0002219,All male-biased,3,5,5,3
N0.HOG0002221,All unbiased,2,2,2,2
N0.HOG0002226,All unbiased,3,3,3,3
N0.HOG0002227,All female-biased,2,2,2,2
N0.HOG0002228,Male + Unbiased,2,2,2,2
N0.HOG0002229,All unbiased,2,2,2,2
N0.HOG0002231,Male + Unbiased,2,2,2,2
N0.HOG0002232,All female-biased,3,3,3,3
N0.HOG0002234,All three,4,4,4,4
N0.HOG0002236,All female-biased,2,2,2,2
N0.HOG0002238,All unbiased,5,5,5,5
N0.HOG0002239,Female + Unbiased,2,2,2,2
N0.HOG0002243,All female-biased,2,2,2,2
N0.HOG0002246,All unbiased,2,2,2,2
N0.HOG0002248,All unbiased,2,2,2,2
N0.HOG0002249,All unbiased,2,2,2,2
N0.HOG0002251,All unbiased,2,2,2,2
N0.HOG0002256,All unbiased,3,3,3,3
N0.HOG0002258,All unbiased,2,2,2,2
N0.HOG0002259,All unbiased,2,2,2,2
N0.HOG0002264,Male + Unbiased,4,4,4,4
N0.HOG0002265,All unbiased,2,2,2,2
N0.HOG0002266,All female-biased,2,2,2,2
N0.HOG0002269,All male-biased,2,2,2,2
N0.HOG0002270,All male-biased,2,2,2,2
N0.HOG0002274,Female + Unbiased,2,2,2,2
N0.HOG0002275,Male + Unbiased,2,2,2,2
N0.HOG0002276,All male-biased,2,2,2,2
N0.HOG0002277,All male-biased,2,2,2,2
N0.HOG0002280,All male-biased,2,2,2,2
N0.HOG0002281,All unbiased,2,2,2,2
N0.HOG0002282,All male-biased,3,3,3,3
N0.HOG0002283,Male + Unbiased,2,2,2,2
N0.HOG0002284,All unbiased,4,4,4,4
N0.HOG0002285,Female + Unbiased,4,4,4,4
N0.HOG0002297,All male-biased,4,5,5,4
N0.HOG0002298,All male-biased,2,2,2,2
N0.HOG0002299,All male-biased,2,2,2,2
N0.HOG0002302,All male-biased,2,2,2,2
N0.HOG0002303,All unbiased,2,4,4,2
N0.HOG0002304,Female + Unbiased,7,7,7,7
N0.HOG0002309,All male-biased,2,2,2,2
N0.HOG0002310,Male + Unbiased,3,3,3,3
N0.HOG0002312,Male + Unbiased,2,2,2,2
N0.HOG0002316,Male + Unbiased,2,2,2,2
N0.HOG0002331,All three,4,4,4,4
N0.HOG0002332,All male-biased,2,2,2,2
N0.HOG0002333,All unbiased,2,2,2,2
N0.HOG0002335,All unbiased,2,2,2,2
N0.HOG0002336,All unbiased,2,4,2,2
N0.HOG0002338,Female + Unbiased,2,2,2,2
N0.HOG0002340,All unbiased,2,2,2,2
N0.HOG0002341,All unbiased,2,2,2,2
N0.HOG0002342,All unbiased,4,4,4,4
N0.HOG0002343,All unbiased,3,3,3,3
N0.HOG0002344,All unbiased,2,2,2,2
N0.HOG0002345,All unbiased,2,2,2,2
N0.HOG0002346,All male-biased,2,3,2,2
N0.HOG0002353,All male-biased,2,14,13,2
N0.HOG0002354,All unbiased,2,2,2,2
N0.HOG0002364,All female-biased,2,2,2,2
N0.HOG0002373,All male-biased,5,18,5,5
N0.HOG0002375,Male + Unbiased,6,17,14,6
N0.HOG0002377,Male + Unbiased,4,11,9,4
N0.HOG0002405,Male + Unbiased,2,2,2,2
N0.HOG0002414,All unbiased,2,2,2,2
N0.HOG0002418,All male-biased,2,2,2,2
N0.HOG0002428,All unbiased,2,3,3,2
N0.HOG0002429,All unbiased,3,6,6,3
N0.HOG0002432,Male + Female,2,2,2,2
N0.HOG0002437,All female-biased,2,2,2,2
N0.HOG0002440,All female-biased,2,2,2,2
N0.HOG0002446,All unbiased,2,2,2,2
N0.HOG0002451,Male + Unbiased,2,2,2,2
N0.HOG0002452,All male-biased,3,3,3,3
N0.HOG0002453,Male + Unbiased,2,2,2,2
N0.HOG0002456,All unbiased,5,6,5,5
N0.HOG0002472,All unbiased,4,6,5,4
N0.HOG0002473,All unbiased,2,4,4,2
N0.HOG0002474,All unbiased,4,4,4,4
N0.HOG0002476,All female-biased,2,2,2,2
N0.HOG0002478,All unbiased,2,2,2,2
N0.HOG0002479,All male-biased,2,2,2,2
N0.HOG0002480,Male + Unbiased,2,2,2,2
N0.HOG0002484,All unbiased,2,15,9,2
N0.HOG0002485,All unbiased,2,2,2,2
N0.HOG0002487,All male-biased,2,2,2,2
N0.HOG0002488,All unbiased,2,2,2,2
N0.HOG0002492,All unbiased,2,2,2,2
N0.HOG0002493,All unbiased,3,4,4,3
N0.HOG0002497,All unbiased,2,2,2,2
N0.HOG0002499,Male + Unbiased,2,2,2,2
N0.HOG0002500,All male-biased,2,3,3,2
N0.HOG0002509,All unbiased,2,2,2,2
N0.HOG0002511,All unbiased,2,2,2,2
N0.HOG0002512,All unbiased,2,2,2,2
N0.HOG0002513,All unbiased,2,2,2,2
N0.HOG0002514,All unbiased,2,2,2,2
N0.HOG0002518,Male + Unbiased,3,3,3,3
N0.HOG0002526,Male + Unbiased,4,4,4,4
N0.HOG0002528,All unbiased,2,2,2,2
N0.HOG0002529,All unbiased,2,2,2,2
N0.HOG0002530,All male-biased,2,2,2,2
N0.HOG0002531,Female + Unbiased,3,3,3,3
N0.HOG0002534,All unbiased,2,2,2,2
N0.HOG0002538,All male-biased,2,2,2,2
N0.HOG0002540,Male + Unbiased,2,2,2,2
N0.HOG0002550,All male-biased,3,3,3,3
N0.HOG0002553,Female + Unbiased,2,2,2,2
N0.HOG0002555,All female-biased,2,2,2,2
N0.HOG0002560,All unbiased,2,2,2,2
N0.HOG0002563,Male + Unbiased,3,3,3,3
N0.HOG0002564,All unbiased,2,2,2,2
N0.HOG0002569,All unbiased,2,3,3,2
N0.HOG0002570,All male-biased,3,3,3,3
N0.HOG0002575,All unbiased,2,3,2,2
N0.HOG0002576,All unbiased,3,3,3,3
N0.HOG0002596,All unbiased,2,2,2,2
N0.HOG0002597,All male-biased,2,2,2,2
N0.HOG0002598,All unbiased,2,2,2,2
N0.HOG0002600,All unbiased,2,2,2,2
N0.HOG0002603,All male-biased,2,2,2,2
N0.HOG0002604,All unbiased,4,4,4,4
N0.HOG0002605,All unbiased,2,2,2,2
N0.HOG0002606,All female-biased,2,2,2,2
N0.HOG0002608,All female-biased,2,2,2,2
N0.HOG0002612,All unbiased,2,2,2,2
N0.HOG0002614,Male + Unbiased,4,6,6,4
N0.HOG0002616,All unbiased,5,6,6,5
N0.HOG0002617,Female + Unbiased,3,3,3,3
N0.HOG0002619,All male-biased,3,3,3,3
N0.HOG0002624,Male + Unbiased,3,3,3,3
N0.HOG0002625,All unbiased,2,2,2,2
N0.HOG0002631,All unbiased,2,2,2,2
N0.HOG0002639,All male-biased,2,2,2,2
N0.HOG0002645,All female-biased,2,2,2,2
N0.HOG0002650,All female-biased,2,2,2,2
N0.HOG0002652,Male + Unbiased,3,6,4,3
N0.HOG0002653,All unbiased,2,2,2,2
N0.HOG0002655,All unbiased,3,3,3,3
N0.HOG0002656,All unbiased,2,2,2,2
N0.HOG0002657,All unbiased,5,5,5,5
N0.HOG0002658,All unbiased,2,2,2,2
N0.HOG0002659,All unbiased,2,2,2,2
N0.HOG0002660,All unbiased,2,2,2,2
N0.HOG0002662,All female-biased,2,2,2,2
N0.HOG0002663,All female-biased,2,2,2,2
N0.HOG0002664,All male-biased,2,2,2,2
N0.HOG0002666,All unbiased,2,2,2,2
N0.HOG0002667,All unbiased,6,6,6,6
N0.HOG0002669,All unbiased,2,3,2,2
N0.HOG0002670,All male-biased,3,3,3,3
N0.HOG0002676,All unbiased,2,2,2,2
N0.HOG0002677,All unbiased,2,2,2,2
N0.HOG0002678,All unbiased,3,3,3,3
N0.HOG0002682,All unbiased,4,4,4,4
N0.HOG0002686,All female-biased,2,2,2,2
N0.HOG0002687,All unbiased,2,2,2,2
N0.HOG0002688,All unbiased,3,3,3,3
N0.HOG0002689,All unbiased,2,2,2,2
N0.HOG0002691,All male-biased,2,2,2,2
N0.HOG0002692,All unbiased,2,2,2,2
N0.HOG0002705,Male + Unbiased,2,12,7,2
N0.HOG0002706,Male + Unbiased,5,14,10,5
N0.HOG0002707,Male + Unbiased,2,2,2,2
N0.HOG0002708,Male + Unbiased,4,16,13,4
N0.HOG0002713,Male + Unbiased,7,12,9,7
N0.HOG0002714,All unbiased,6,20,16,6
N0.HOG0002727,All unbiased,2,2,2,2
N0.HOG0002736,Male + Unbiased,2,2,2,2
N0.HOG0002737,Male + Female,3,3,3,3
N0.HOG0002739,All male-biased,2,2,2,2
N0.HOG0002746,All male-biased,3,3,3,3
N0.HOG0002752,All male-biased,3,3,3,3
N0.HOG0002769,All unbiased,2,2,2,2
N0.HOG0002770,All unbiased,2,2,2,2
N0.HOG0002777,All female-biased,2,2,2,2
N0.HOG0002778,All unbiased,2,2,2,2
N0.HOG0002783,All unbiased,2,2,2,2
N0.HOG0002792,All unbiased,2,2,2,2
N0.HOG0002798,All unbiased,4,4,4,4
N0.HOG0002799,All male-biased,2,2,2,2
N0.HOG0002802,All unbiased,2,2,2,2
N0.HOG0002803,All unbiased,2,2,2,2
N0.HOG0002810,All unbiased,2,2,2,2
N0.HOG0002812,Male + Unbiased,3,3,3,3
N0.HOG0002815,All unbiased,2,2,2,2
N0.HOG0002816,Male + Unbiased,3,3,3,3
N0.HOG0002817,All unbiased,2,2,2,2
N0.HOG0002823,All unbiased,2,2,2,2
N0.HOG0002828,All male-biased,2,2,2,2
N0.HOG0002829,All unbiased,4,4,4,4
N0.HOG0002832,All female-biased,3,3,3,3
N0.HOG0002834,All male-biased,2,2,2,2
N0.HOG0002836,All unbiased,2,2,2,2
N0.HOG0002839,All female-biased,2,2,2,2
N0.HOG0002840,All unbiased,2,2,2,2
N0.HOG0002845,All unbiased,2,2,2,2
N0.HOG0002848,All male-biased,2,2,2,2
N0.HOG0002849,Female + Unbiased,2,2,2,2
N0.HOG0002852,All male-biased,3,12,9,3
N0.HOG0002853,All male-biased,2,2,2,2
N0.HOG0002856,All unbiased,2,2,2,2
N0.HOG0002859,All unbiased,2,2,2,2
N0.HOG0002861,All unbiased,3,3,3,3
N0.HOG0002862,All unbiased,2,2,2,2
N0.HOG0002878,Female + Unbiased,2,2,2,2
N0.HOG0002881,All unbiased,2,2,2,2
N0.HOG0002885,All unbiased,2,2,2,2
N0.HOG0002889,Female + Unbiased,2,4,4,2
N0.HOG0002891,Male + Unbiased,3,5,5,3
N0.HOG0002892,Male + Unbiased,4,5,5,4
N0.HOG0002893,Female + Unbiased,2,2,2,2
N0.HOG0002897,All male-biased,2,2,2,2
N0.HOG0002898,Female + Unbiased,2,2,2,2
N0.HOG0002903,All unbiased,2,2,2,2
N0.HOG0002905,All unbiased,2,2,2,2
N0.HOG0002912,All male-biased,2,2,2,2
N0.HOG0002915,Male + Unbiased,3,4,4,3
N0.HOG0002918,All male-biased,2,2,2,2
N0.HOG0002919,All unbiased,2,3,2,2
N0.HOG0002920,All unbiased,2,4,3,2
N0.HOG0002928,All unbiased,3,3,3,3
N0.HOG0002939,All unbiased,2,2,2,2
N0.HOG0002940,Male + Unbiased,2,2,2,2
N0.HOG0002946,All male-biased,2,2,2,2
N0.HOG0002949,Male + Unbiased,2,2,2,2
N0.HOG0002967,All male-biased,2,2,2,2
N0.HOG0002974,All unbiased,2,2,2,2
N0.HOG0002981,All unbiased,2,2,2,2
N0.HOG0002994,All male-biased,2,2,2,2
N0.HOG0002996,All unbiased,3,3,3,3
N0.HOG0002997,All unbiased,4,4,4,4
N0.HOG0003002,All unbiased,2,2,2,2
N0.HOG0003003,Male + Unbiased,7,15,12,7
N0.HOG0003005,All unbiased,2,2,2,2
N0.HOG0003007,Female + Unbiased,3,3,3,3
N0.HOG0003022,All unbiased,2,2,2,2
N0.HOG0003030,All unbiased,2,2,2,2
