HOG,category,n_expressed_dups,hog_size_genome,hog_size_mapped,hog_size_expressed
N0.HOG0000262,All unbiased,4,4,4,4
N0.HOG0000265,All female-biased,2,2,2,2
N0.HOG0000269,Male + Unbiased,9,17,16,9
N0.HOG0000274,Male + Female,2,3,3,2
N0.HOG0000276,All three,8,8,8,8
N0.HOG0000277,All male-biased,4,7,6,4
N0.HOG0000278,All three,10,10,10,10
N0.HOG0000282,All unbiased,2,2,2,2
N0.HOG0000284,Female + Unbiased,8,8,8,8
N0.HOG0000286,Male + Unbiased,6,15,15,6
N0.HOG0000289,Male + Female,3,3,3,3
N0.HOG0000296,Male + Unbiased,10,23,20,10
N0.HOG0000297,Male + Unbiased,6,6,6,6
N0.HOG0000299,Male + Unbiased,11,25,21,11
N0.HOG0000300,All three,4,4,4,4
N0.HOG0000301,Male + Unbiased,5,5,5,5
N0.HOG0000302,Female + Unbiased,3,3,3,3
N0.HOG0000304,Female + Unbiased,2,2,2,2
N0.HOG0000305,All three,8,8,8,8
N0.HOG0000307,Male + Unbiased,3,3,3,3
N0.HOG0000310,Male + Unbiased,2,2,2,2
N0.HOG0000311,All male-biased,2,2,2,2
N0.HOG0000314,Male + Unbiased,3,3,3,3
N0.HOG0000315,All male-biased,3,3,3,3
N0.HOG0000316,All unbiased,5,5,5,5
N0.HOG0000319,Male + Unbiased,7,7,7,7
N0.HOG0000320,Male + Unbiased,11,11,11,11
N0.HOG0000321,All three,6,21,16,6
N0.HOG0000323,Male + Unbiased,12,23,22,12
N0.HOG0000332,All male-biased,2,8,6,2
N0.HOG0000334,Male + Unbiased,5,10,7,5
N0.HOG0000335,Male + Unbiased,2,11,9,2
N0.HOG0000337,All male-biased,4,8,8,4
N0.HOG0000346,Male + Unbiased,6,12,11,6
N0.HOG0000347,Male + Unbiased,2,28,18,2
N0.HOG0000348,Male + Unbiased,9,33,28,9
N0.HOG0000351,Male + Unbiased,4,4,4,4
N0.HOG0000352,All unbiased,2,3,2,2
N0.HOG0000356,All unbiased,2,2,2,2
N0.HOG0000359,All unbiased,2,2,2,2
N0.HOG0000361,All three,8,22,19,8
N0.HOG0000362,All male-biased,5,6,6,5
N0.HOG0000364,All three,5,13,12,5
N0.HOG0000367,All three,9,21,18,9
N0.HOG0000368,Male + Female,2,5,5,2
N0.HOG0000369,Male + Unbiased,5,30,29,5
N0.HOG0000372,All unbiased,2,2,2,2
N0.HOG0000373,All unbiased,2,2,2,2
N0.HOG0000375,All three,4,4,4,4
N0.HOG0000377,Male + Female,5,5,5,5
N0.HOG0000378,Male + Unbiased,4,4,4,4
N0.HOG0000380,All female-biased,2,5,2,2
N0.HOG0000381,All unbiased,2,2,2,2
N0.HOG0000397,Female + Unbiased,2,2,2,2
N0.HOG0000399,Male + Unbiased,4,4,4,4
N0.HOG0000408,All unbiased,2,3,3,2
N0.HOG0000411,Male + Unbiased,2,2,2,2
N0.HOG0000416,All unbiased,4,4,4,4
N0.HOG0000417,Male + Unbiased,5,17,16,5
N0.HOG0000425,Male + Unbiased,7,58,40,7
N0.HOG0000426,All three,4,5,5,4
N0.HOG0000427,All male-biased,3,13,13,3
N0.HOG0000429,Male + Unbiased,4,20,17,4
N0.HOG0000430,Male + Unbiased,3,5,4,3
